url,image,price,tags,size,color,condition,description
https://www.grailed.com/listings/60275542-raf-simons-raf-simons-19ss-silver-knitting-turtle-neck?g_aidx=Listing_production&g_aqid=64d67edeb19c3cadc9e659f5a91e85a7,https://media-assets.grailed.com/prd/listing/temp/c36af24e9d144f3b9fdca6cdb16d9b83?,846,Raf Simons 19SS Silver Knitting turtle neck,s,white,used,
https://www.grailed.com/listings/60275493-jordan-brand-air-jordan-retro-12-wolf-grey?g_aidx=Listing_production&g_aqid=5bf5768e6971db534655a3fb8248d4bc,https://media-assets.grailed.com/prd/listing/temp/98362fa4392e485e94609186ee77afa1?,200,Air Jordan Retro 12 Wolf Grey,9,white,used,
https://www.grailed.com/listings/60275544-raf-simons-raf-simons-21aw-violet-silhouette-embroidered-leather-denim-jacket-coat?g_aidx=Listing_production&g_aqid=293710d39de42eaa9f014a949f1fec2c,https://media-assets.grailed.com/prd/listing/temp/7e89f2bc5eab480dbbbbf73f89b5b2ad?,1128,Raf Simons 21AW Violet silhouette embroidered leather denim jacket coat,xs,purple,used,
https://www.grailed.com/listings/60264084-christian-dior-monsieur-christian-dior-oblique-monogram-reversible-hoodie-jacket?g_aidx=Listing_production&g_aqid=64d67edeb19c3cadc9e659f5a91e85a7,https://media-assets.grailed.com/prd/listing/temp/ac644557edf84aa2bfb4709b22f10295?,1250,Christian Dior oblique Monogram Reversible Hoodie Jacket,m,multi,used,
https://www.grailed.com/listings/60275543-raf-simons-raf-simons-22ss-marble-coat-jacket-coat?g_aidx=Listing_production&g_aqid=293710d39de42eaa9f014a949f1fec2c,https://media-assets.grailed.com/prd/listing/temp/fa6fb474917247ccbd026a688f3daa34?,1610,Raf Simons 22SS Marble Coat Jacket Coat,s,multi,new,
https://www.grailed.com/listings/59467682-acne-studios-straight-wide-leg-pants-with-bullet-zips-details?g_aidx=Listing_production&g_aqid=ecf7555cebca04c0ec84f910f7a580a5,https://media-assets.grailed.com/prd/listing/47519665/67a759a0015d42429f8ff5cea497c5e9?,207,Straight wide leg pants with bullet zips details,32,green,new,
https://www.grailed.com/listings/58795526-affliction-x-streetwear-x-xavier-axr-xzavier-black-gold-all-over-print-tees?g_aidx=Listing_production&g_aqid=1d064abe62f498c31848ef10cb52bfbc,https://media-assets.grailed.com/prd/listing/temp/c1c237850354451aab487ac71eeafc37?,100,AXR Xzavier Black Gold All Over Print Tees,l,black/gold,used,
https://www.grailed.com/listings/60275484-raf-simons-raf-simons-classic-black-and-white-logo-black-denim-shorts?g_aidx=Listing_production&g_aqid=5bf5768e6971db534655a3fb8248d4bc,https://media-assets.grailed.com/prd/listing/temp/4703ef75c56a4927ab432e7502ff60cb?,682,RAF SIMONS classic black and white LOGO black denim shorts,28,black,used,
https://www.grailed.com/listings/59923037-chrome-hearts-chrome-hearts-bs-flare-stack-charm?g_aidx=Listing_production&g_aqid=ecf7555cebca04c0ec84f910f7a580a5,https://media-assets.grailed.com/prd/listing/47730289/f08a41150e274804a9fd95e9f470c983?,1500,Chrome Hearts BS Flare Stack Charm,none,gold,used,
https://www.grailed.com/listings/60262243-thom-browne-cotton-jersey-polo-with-grosgrain-stripes?g_aidx=Listing_production&g_aqid=293710d39de42eaa9f014a949f1fec2c,https://media-assets.grailed.com/prd/listing/temp/5dd509bde99c42a786845d14363d40be?,250,Cotton Jersey Polo with Grosgrain Stripes,xs,white,used,
https://www.grailed.com/listings/60275486-raf-simons-raf-simons-black-pocket-crotch-cropped-shorts-pants?g_aidx=Listing_production&g_aqid=5bf5768e6971db534655a3fb8248d4bc,https://media-assets.grailed.com/prd/listing/temp/5912f256bdf846bb92d9303397a51213?,330,RAF SIMONS black pocket crotch cropped shorts pants,32,black,used,
https://www.grailed.com/listings/60275436-enfants-riches-deprimes-enfants-riches-deprimes-23sspullovers-are-like-long-sleeves?g_aidx=Listing_production&g_aqid=11eaf9bc4ca6ead64705a77008835726,https://media-assets.grailed.com/prd/listing/temp/abd12579364c49349cd662d3a282358d?,1402,Enfants Riches Deprimes 23ssPullovers are like long sleeves.,l,black,used,
https://www.grailed.com/listings/58841497-streetwear-x-vintage-x-vivienne-westwood-vintage-vivienne-westwood-tee-logo-size-m?g_aidx=Listing_production&g_aqid=5bf5768e6971db534655a3fb8248d4bc,https://media-assets.grailed.com/prd/listing/temp/cae2c483f8114141a543128ea6172847?,55,Vintage Vivienne Westwood tee logo size M,m,white,used,
https://www.grailed.com/listings/60275511-raf-simons-raf-simons-18ss-blade-runner-tank-top-vest?g_aidx=Listing_production&g_aqid=50c598d086c694ae3bd065024ab2c882,https://media-assets.grailed.com/prd/listing/temp/76f44ef2ee5a4919858da55645b37526?,608,Raf Simons 18SS blade runner tank top vest,s,white,used,
https://www.grailed.com/listings/60242944-custom-x-streetwear-x-vintage-fade-flared-grunge-washed-pants?g_aidx=Listing_production&g_aqid=c3b2b8ded20c57988c3d57df104ce8f2,https://media-assets.grailed.com/prd/listing/temp/bfeb7bbdecf54656a0812ecd8af3d72a?,101,fade flared grunge washed pants,34,gray,new,
https://www.grailed.com/listings/59435343-levi-s-x-vintage-levis-l2-vintage-baggy-light-washed-denim-jeans?g_aidx=Listing_production&g_aqid=50c598d086c694ae3bd065024ab2c882,https://media-assets.grailed.com/prd/listing/47988188/d5b1459edc144dd19a7b7e9219a84d5e?,120,Levis L2 Vintage Baggy Light Washed Denim Jeans,32,denim,used,
https://www.grailed.com/listings/60275545-raf-simons-raf-simons-22ss-printed-bomber-zipper-jacket?g_aidx=Listing_production&g_aqid=64d67edeb19c3cadc9e659f5a91e85a7,https://media-assets.grailed.com/prd/listing/temp/6c42f2db5d3c4fe283f04ea54dc9b4ed?,1440,Raf Simons 22SS printed Bomber zipper jacket,m,black,used,
https://www.grailed.com/listings/59923055-marvel-comics-x-movie-x-vintage-vintage-00s-the-amazing-spider-man-hoodie?g_aidx=Listing_production&g_aqid=64d67edeb19c3cadc9e659f5a91e85a7,https://media-assets.grailed.com/prd/listing/temp/433906364e5a4a95981e646a0c4bea53?,69,Vintage 00s The Amazing Spider-Man Hoodie,m,navy/red,used,
